Namespace(batch_size=32, binary=False, checkinfo=False, data_dir='/scratch/project_2003455/cloud/vnn/data', dataset='modelnet40', dropout=0.5, emb_dims=1024, epochs=200, k=20, lr=0.001, model='svnet', momentum=0.9, multi=1, num_points=1024, num_workers=8, pooling='mean', resume=False, resume_from=None, rot='z', rot_test='so3', save_dir='/scratch/project_2002243/zhuo/vnbnn/exp_068', seed=1, test=None, wd=0.0001)
EPOCH 095/200 | Test: loss 1.768378, acc 0.851702, avg acc 0.802029 | Train: loss 1.646133, acc 0.857492, avg acc 0.807982 | lr 0.00024010 | 2022-02-16-09-52-35
EPOCH 096/200 | Test: loss 1.745611, acc 0.849271, avg acc 0.792692 | Train: loss 1.631303, acc 0.861665, avg acc 0.813635 | lr 0.00024010 | 2022-02-16-09-53-02
EPOCH 097/200 | Test: loss 1.775996, acc 0.826985, avg acc 0.785163 | Train: loss 1.634357, acc 0.866958, avg acc 0.822226 | lr 0.00024010 | 2022-02-16-09-53-29
EPOCH 098/200 | Test: loss 1.749782, acc 0.843193, avg acc 0.779122 | Train: loss 1.635095, acc 0.865126, avg acc 0.818306 | lr 0.00024010 | 2022-02-16-09-53-56
EPOCH 099/200 | Test: loss 1.739980, acc 0.844003, avg acc 0.789616 | Train: loss 1.630215, acc 0.867773, avg acc 0.818492 | lr 0.00024010 | 2022-02-16-09-54-23
EPOCH 100/200 | Test: loss 1.744085, acc 0.843193, avg acc 0.793279 | Train: loss 1.620282, acc 0.871743, avg acc 0.827986 | lr 0.00016807 | 2022-02-16-09-54-50
EPOCH 101/200 | Test: loss 1.743624, acc 0.845219, avg acc 0.796465 | Train: loss 1.612201, acc 0.874287, avg acc 0.833729 | lr 0.00016807 | 2022-02-16-09-55-17
EPOCH 102/200 | Test: loss 1.730016, acc 0.840762, avg acc 0.787587 | Train: loss 1.612093, acc 0.874898, avg acc 0.834652 | lr 0.00016807 | 2022-02-16-09-55-44
EPOCH 103/200 | Test: loss 1.738544, acc 0.840762, avg acc 0.786041 | Train: loss 1.610300, acc 0.875509, avg acc 0.832277 | lr 0.00016807 | 2022-02-16-09-56-11
EPOCH 104/200 | Test: loss 1.722038, acc 0.851702, avg acc 0.803087 | Train: loss 1.603980, acc 0.879377, avg acc 0.839645 | lr 0.00016807 | 2022-02-16-09-56-38
EPOCH 105/200 | Test: loss 1.739621, acc 0.840357, avg acc 0.792244 | Train: loss 1.607445, acc 0.879479, avg acc 0.835706 | lr 0.00016807 | 2022-02-16-09-57-05
EPOCH 106/200 | Test: loss 1.729028, acc 0.838331, avg acc 0.788709 | Train: loss 1.598720, acc 0.885790, avg acc 0.843908 | lr 0.00016807 | 2022-02-16-09-57-32
EPOCH 107/200 | Test: loss 1.732911, acc 0.848865, avg acc 0.789831 | Train: loss 1.599270, acc 0.878156, avg acc 0.837278 | lr 0.00016807 | 2022-02-16-09-57-59
EPOCH 108/200 | Test: loss 1.725486, acc 0.841977, avg acc 0.787163 | Train: loss 1.599557, acc 0.880293, avg acc 0.839153 | lr 0.00016807 | 2022-02-16-09-58-26
EPOCH 109/200 | Test: loss 1.735207, acc 0.850081, avg acc 0.800953 | Train: loss 1.602698, acc 0.880497, avg acc 0.838230 | lr 0.00016807 | 2022-02-16-09-58-53
EPOCH 110/200 | Test: loss 1.743323, acc 0.842788, avg acc 0.785581 | Train: loss 1.603727, acc 0.878461, avg acc 0.835209 | lr 0.00016807 | 2022-02-16-09-59-20
EPOCH 111/200 | Test: loss 1.723553, acc 0.845624, avg acc 0.794826 | Train: loss 1.590475, acc 0.889047, avg acc 0.849761 | lr 0.00016807 | 2022-02-16-09-59-47
EPOCH 112/200 | Test: loss 1.739890, acc 0.841977, avg acc 0.790360 | Train: loss 1.595851, acc 0.881820, avg acc 0.839528 | lr 0.00016807 | 2022-02-16-10-00-14
EPOCH 113/200 | Test: loss 1.713764, acc 0.852917, avg acc 0.802151 | Train: loss 1.590107, acc 0.885383, avg acc 0.844337 | lr 0.00016807 | 2022-02-16-10-00-41
EPOCH 114/200 | Test: loss 1.731508, acc 0.848865, avg acc 0.800907 | Train: loss 1.595143, acc 0.883347, avg acc 0.844393 | lr 0.00016807 | 2022-02-16-10-01-08
EPOCH 115/200 | Test: loss 1.730020, acc 0.845624, avg acc 0.799337 | Train: loss 1.596522, acc 0.883449, avg acc 0.841086 | lr 0.00016807 | 2022-02-16-10-01-35
EPOCH 116/200 | Test: loss 1.736839, acc 0.854538, avg acc 0.806570 | Train: loss 1.590444, acc 0.881616, avg acc 0.841869 | lr 0.00016807 | 2022-02-16-10-02-02
EPOCH 117/200 | Test: loss 1.740474, acc 0.849676, avg acc 0.800192 | Train: loss 1.589480, acc 0.882125, avg acc 0.838156 | lr 0.00016807 | 2022-02-16-10-02-29
EPOCH 118/200 | Test: loss 1.728390, acc 0.849676, avg acc 0.802163 | Train: loss 1.592254, acc 0.883856, avg acc 0.840854 | lr 0.00016807 | 2022-02-16-10-02-57
EPOCH 119/200 | Test: loss 1.738998, acc 0.854133, avg acc 0.801442 | Train: loss 1.584451, acc 0.890778, avg acc 0.851884 | lr 0.00016807 | 2022-02-16-10-03-24
EPOCH 120/200 | Test: loss 1.736527, acc 0.856159, avg acc 0.805948 | Train: loss 1.579932, acc 0.891999, avg acc 0.854274 | lr 0.00011765 | 2022-02-16-10-03-51
EPOCH 121/200 | Test: loss 1.762607, acc 0.847650, avg acc 0.801651 | Train: loss 1.575001, acc 0.892305, avg acc 0.852990 | lr 0.00011765 | 2022-02-16-10-04-18
EPOCH 122/200 | Test: loss 1.728868, acc 0.849271, avg acc 0.801494 | Train: loss 1.567954, acc 0.895867, avg acc 0.858008 | lr 0.00011765 | 2022-02-16-10-04-45
EPOCH 123/200 | Test: loss 1.738280, acc 0.849271, avg acc 0.798453 | Train: loss 1.568988, acc 0.895969, avg acc 0.859834 | lr 0.00011765 | 2022-02-16-10-05-12
EPOCH 124/200 | Test: loss 1.739517, acc 0.856564, avg acc 0.810610 | Train: loss 1.566647, acc 0.898107, avg acc 0.861711 | lr 0.00011765 | 2022-02-16-10-05-39
EPOCH 125/200 | Test: loss 1.730827, acc 0.854133, avg acc 0.804448 | Train: loss 1.567314, acc 0.896783, avg acc 0.857406 | lr 0.00011765 | 2022-02-16-10-06-06
EPOCH 126/200 | Test: loss 1.715795, acc 0.854538, avg acc 0.801698 | Train: loss 1.572304, acc 0.893730, avg acc 0.856149 | lr 0.00011765 | 2022-02-16-10-06-33
EPOCH 127/200 | Test: loss 1.732806, acc 0.858185, avg acc 0.794238 | Train: loss 1.564109, acc 0.897496, avg acc 0.860970 | lr 0.00011765 | 2022-02-16-10-07-00
EPOCH 128/200 | Test: loss 1.729285, acc 0.847245, avg acc 0.797081 | Train: loss 1.575339, acc 0.891694, avg acc 0.850663 | lr 0.00011765 | 2022-02-16-10-07-27
EPOCH 129/200 | Test: loss 1.731830, acc 0.847245, avg acc 0.789948 | Train: loss 1.572217, acc 0.896173, avg acc 0.858597 | lr 0.00011765 | 2022-02-16-10-07-54
EPOCH 130/200 | Test: loss 1.730504, acc 0.844003, avg acc 0.794797 | Train: loss 1.564608, acc 0.893424, avg acc 0.852891 | lr 0.00011765 | 2022-02-16-10-08-21
EPOCH 131/200 | Test: loss 1.735001, acc 0.853728, avg acc 0.796372 | Train: loss 1.562091, acc 0.900041, avg acc 0.863602 | lr 0.00011765 | 2022-02-16-10-08-48
EPOCH 132/200 | Test: loss 1.733273, acc 0.844814, avg acc 0.799372 | Train: loss 1.562424, acc 0.897089, avg acc 0.854680 | lr 0.00011765 | 2022-02-16-10-09-15
EPOCH 133/200 | Test: loss 1.721204, acc 0.841572, avg acc 0.787279 | Train: loss 1.556908, acc 0.901771, avg acc 0.869188 | lr 0.00011765 | 2022-02-16-10-09-42
EPOCH 134/200 | Test: loss 1.727250, acc 0.847650, avg acc 0.792860 | Train: loss 1.563105, acc 0.896173, avg acc 0.855198 | lr 0.00011765 | 2022-02-16-10-10-09
EPOCH 135/200 | Test: loss 1.727935, acc 0.853323, avg acc 0.799529 | Train: loss 1.561224, acc 0.896478, avg acc 0.860927 | lr 0.00011765 | 2022-02-16-10-10-36
